,Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
170,2019-04-18,1410.05,1443.05,1410.05,1432.3,1422.02,21127.0,726.0,30043006.0,1827.0,8.65,33.0,22.25,BOM500002
171,2019-04-16,1424.0,1435.0,1406.2,1408.6,1419.1,3335.0,270.0,4732686.0,1365.0,40.93,28.8,-15.4,BOM500002
172,2019-04-15,1430.0,1438.95,1419.0,1421.4,1427.4,2562.0,267.0,3656997.0,966.0,37.7,19.95,-8.6,BOM500002
173,2019-04-12,1400.05,1434.0,1400.0,1426.2,1423.74,6928.0,588.0,9863646.0,1767.0,25.51,34.0,26.15,BOM500002
174,2019-04-11,1377.05,1418.0,1370.6,1403.4,1394.86,32022.0,739.0,44666271.0,1544.0,4.82,47.4,26.35,BOM500002
175,2019-04-10,1392.5,1405.25,1370.2,1379.05,1389.82,3999.0,302.0,5557879.0,1621.0,40.54,35.05,-13.45,BOM500002
176,2019-04-09,1400.0,1414.9,1381.4,1408.4,1398.86,5968.0,551.0,8348382.0,1411.0,23.64,33.5,8.4,BOM500002
177,2019-04-08,1375.0,1416.0,1370.0,1398.2,1406.56,34789.0,1741.0,48932967.0,2458.0,7.07,46.0,23.2,BOM500002
178,2019-04-05,1326.8,1379.0,1320.3,1374.75,1364.17,12887.0,1005.0,17580082.0,3651.0,28.33,58.7,47.95,BOM500002
179,2019-04-04,1334.4,1336.1,1317.3,1326.0,1323.9,3106.0,295.0,4112032.0,656.0,21.12,18.8,-8.4,BOM500002
180,2019-04-03,1323.35,1339.95,1319.7,1329.0,1333.41,27791.0,545.0,37056713.0,1134.0,4.08,20.25,5.65,BOM500002
181,2019-04-02,1320.0,1342.25,1314.0,1322.6,1325.43,4482.0,362.0,5940560.0,838.0,18.7,28.25,2.6,BOM500002
182,2019-04-01,1319.85,1326.6,1306.35,1313.55,1316.39,7785.0,548.0,10248104.0,2558.0,32.86,20.25,-6.3,BOM500002
183,2019-03-29,1327.95,1328.0,1310.0,1319.85,1319.42,72595.0,1324.0,95783140.0,44010.0,60.62,18.0,-8.1,BOM500002
184,2019-03-28,1327.0,1330.0,1307.05,1315.0,1316.79,20606.0,571.0,27133877.0,1684.0,8.17,22.95,-12.0,BOM500002
185,2019-03-27,1330.0,1346.5,1321.05,1329.3,1333.81,4388.0,439.0,5852742.0,1328.0,30.26,25.45,-0.7,BOM500002
186,2019-03-26,1336.65,1340.85,1322.6,1333.3,1332.61,1075.0,141.0,1432553.0,388.0,36.09,18.25,-3.35,BOM500002
187,2019-03-25,1331.5,1342.1,1323.45,1338.35,1328.8,23207.0,464.0,30837469.0,1312.0,5.65,18.65,6.85,BOM500002
188,2019-03-22,1342.25,1347.95,1334.2,1341.35,1339.37,23737.0,458.0,31792566.0,2084.0,8.78,13.75,-0.9,BOM500002
189,2019-03-20,1317.55,1342.0,1317.55,1336.15,1334.84,6655.0,535.0,8883356.0,2146.0,32.25,24.45,18.6,BOM500002
190,2019-03-19,1307.65,1322.0,1301.4,1316.35,1314.75,21775.0,446.0,28628756.0,1603.0,7.36,20.6,8.7,BOM500002
191,2019-03-18,1314.95,1324.0,1302.15,1307.6,1314.66,4805.0,441.0,6316951.0,1603.0,33.36,21.85,-7.35,BOM500002
192,2019-03-15,1315.2,1315.2,1296.0,1303.85,1303.05,80405.0,270.0,104771512.0,78223.0,97.29,19.2,-11.35,BOM500002
193,2019-03-14,1310.0,1324.0,1291.5,1307.2,1306.68,11908.0,933.0,15559997.0,2771.0,23.27,32.5,-2.8,BOM500002
194,2019-03-13,1256.65,1310.0,1250.0,1293.3,1288.52,16116.0,1396.0,20765795.0,4320.0,26.81,60.0,36.65,BOM500002
195,2019-03-12,1271.0,1280.1,1250.0,1256.65,1263.51,16437.0,487.0,20768249.0,1422.0,8.65,30.1,-14.35,BOM500002
196,2019-03-11,1265.25,1276.25,1260.2,1265.35,1268.16,20805.0,535.0,26384084.0,2107.0,10.13,16.05,0.1,BOM500002
197,2019-03-08,1269.45,1277.0,1250.9,1265.3,1260.94,5764.0,448.0,7268036.0,2181.0,37.84,26.1,-4.15,BOM500002
198,2019-03-07,1245.0,1290.0,1245.0,1269.45,1277.92,32591.0,1206.0,41648729.0,2972.0,9.12,45.0,24.45,BOM500002
199,2019-03-06,1233.85,1254.8,1227.15,1244.45,1231.54,58033.0,613.0,71469691.0,34691.0,59.78,27.65,10.6,BOM500002
200,2019-03-05,1244.0,1253.2,1224.3,1233.85,1236.95,10900.0,943.0,13482701.0,4473.0,41.04,28.9,-10.15,BOM500002
201,2019-03-01,1245.0,1259.5,1232.5,1240.5,1248.13,58111.0,1510.0,72530075.0,22970.0,39.53,27.0,-4.5,BOM500002
202,2019-02-28,1226.5,1234.5,1224.3,1229.95,1227.55,79563.0,250.0,97667248.0,60662.0,76.24,10.2,3.45,BOM500002
203,2019-02-27,1242.9,1246.0,1221.5,1224.3,1227.18,110293.0,539.0,135348850.0,101120.0,91.68,24.5,-18.6,BOM500002
204,2019-02-26,1237.4,1247.2,1230.0,1235.8,1240.75,4575.0,338.0,5676423.0,532.0,11.63,17.2,-1.6,BOM500002
205,2019-02-25,1258.0,1263.75,1241.0,1248.8,1256.15,3270.0,340.0,4107609.0,429.0,13.12,22.75,-9.2,BOM500002
206,2019-02-22,1242.0,1264.95,1242.0,1248.85,1250.47,31898.0,1083.0,39887562.0,969.0,3.04,22.95,6.85,BOM500002
207,2019-02-21,1260.0,1270.0,1240.15,1249.7,1253.78,22875.0,645.0,28680226.0,864.0,3.78,29.85,-10.3,BOM500002
208,2019-02-20,1257.0,1274.0,1242.85,1248.1,1258.93,11677.0,785.0,14700549.0,1467.0,12.56,31.15,-8.9,BOM500002
209,2019-02-19,1233.25,1253.2,1231.25,1241.9,1242.61,4020.0,328.0,4995296.0,425.0,10.57,21.95,8.65,BOM500002
210,2019-02-18,1243.0,1248.0,1228.3,1232.15,1238.3,4482.0,328.0,5550080.0,1012.0,22.58,19.7,-10.85,BOM500002
211,2019-02-15,1269.0,1270.0,1238.05,1245.65,1253.15,7750.0,706.0,9711886.0,521.0,6.72,31.95,-23.35,BOM500002
212,2019-02-14,1267.0,1275.0,1237.65,1256.45,1260.5,63478.0,710.0,80014240.0,54288.0,85.52,37.35,-10.55,BOM500002
213,2019-02-13,1251.25,1263.5,1243.8,1248.7,1255.75,6249.0,464.0,7847192.0,432.0,6.91,19.7,-2.55,BOM500002
214,2019-02-12,1231.05,1266.45,1231.0,1251.55,1241.99,9060.0,574.0,11252441.0,887.0,9.79,35.45,20.5,BOM500002
215,2019-02-11,1255.05,1260.4,1224.05,1230.35,1234.12,12954.0,894.0,15986824.0,2309.0,17.82,36.35,-24.7,BOM500002
216,2019-02-08,1264.85,1276.05,1249.95,1255.8,1264.21,8534.0,663.0,10788810.0,955.0,11.19,26.1,-9.05,BOM500002
217,2019-02-07,1269.65,1285.0,1256.3,1263.05,1272.59,1955.0,233.0,2487919.0,426.0,21.79,28.7,-6.6,BOM500002
218,2019-02-06,1260.15,1274.6,1254.6,1260.35,1263.75,5887.0,468.0,7439669.0,490.0,8.32,20.0,0.2,BOM500002
219,2019-02-05,1272.2,1293.35,1253.25,1258.4,1275.51,9898.0,807.0,12624949.0,929.0,9.39,40.1,-13.8,BOM500002
220,2019-02-04,1270.0,1291.1,1259.25,1272.3,1276.05,6518.0,648.0,8317280.0,1848.0,28.35,31.85,2.3,BOM500002
221,2019-02-01,1273.25,1294.3,1264.6,1268.55,1283.05,6203.0,479.0,7958777.0,1809.0,29.16,29.7,-4.7,BOM500002
222,2019-01-31,1263.35,1287.0,1255.0,1274.9,1275.16,5708.0,550.0,7278639.0,1002.0,17.55,32.0,11.55,BOM500002
223,2019-01-30,1256.8,1281.4,1241.1,1263.9,1265.37,5965.0,612.0,7547936.0,861.0,14.43,40.3,7.1,BOM500002
224,2019-01-29,1249.0,1267.95,1224.25,1256.8,1251.71,54936.0,709.0,68763998.0,49321.0,89.78,43.7,7.8,BOM500002
225,2019-01-28,1261.7,1261.7,1209.95,1235.0,1234.61,80139.0,762.0,98940153.0,75902.0,94.71,51.75,-26.7,BOM500002
226,2019-01-25,1284.0,1284.0,1250.0,1255.9,1265.87,8755.0,582.0,11082685.0,910.0,10.39,34.0,-28.1,BOM500002
227,2019-01-24,1296.6,1296.6,1254.55,1261.65,1278.85,8977.0,804.0,11480212.0,1734.0,19.32,42.05,-34.95,BOM500002
228,2019-01-23,1308.95,1311.95,1285.8,1294.85,1297.05,61958.0,371.0,80362846.0,56685.0,91.49,26.15,-14.1,BOM500002
229,2019-01-22,1284.0,1313.7,1280.9,1305.35,1300.33,7480.0,666.0,9726491.0,2361.0,31.56,32.8,21.35,BOM500002
230,2019-01-21,1285.2,1301.5,1271.0,1276.5,1288.72,13261.0,830.0,17089692.0,7099.0,53.53,30.5,-8.7,BOM500002
231,2019-01-18,1294.45,1295.4,1271.1,1275.6,1280.37,2746.0,263.0,3515906.0,1206.0,43.92,24.3,-18.85,BOM500002
232,2019-01-17,1289.0,1297.1,1280.0,1284.4,1286.89,6123.0,455.0,7879616.0,2417.0,39.47,17.1,-4.6,BOM500002
233,2019-01-16,1286.6,1314.75,1282.45,1287.55,1294.18,8978.0,652.0,11619187.0,2883.0,32.11,32.3,0.95,BOM500002
234,2019-01-15,1309.4,1325.0,1281.0,1295.4,1307.63,7622.0,704.0,9966723.0,2199.0,28.85,44.0,-14.0,BOM500002
235,2019-01-14,1350.0,1354.8,1300.0,1304.55,1317.65,33741.0,1205.0,44458718.0,9298.0,27.56,54.8,-45.45,BOM500002
236,2019-01-11,1302.35,1359.0,1302.35,1346.65,1332.79,13776.0,1085.0,18360468.0,3823.0,27.75,56.65,44.3,BOM500002
237,2019-01-10,1296.0,1309.0,1295.95,1299.7,1299.73,2930.0,346.0,3808216.0,1319.0,45.02,13.05,3.7,BOM500002
238,2019-01-09,1306.0,1311.85,1294.1,1300.8,1304.88,2706.0,250.0,3530998.0,587.0,21.69,17.75,-5.2,BOM500002
239,2019-01-08,1300.05,1309.0,1294.0,1297.0,1301.46,8061.0,397.0,10491069.0,588.0,7.29,15.0,-3.05,BOM500002
240,2019-01-07,1315.0,1317.6,1294.3,1299.85,1306.63,4009.0,385.0,5238296.0,1599.0,39.89,23.3,-15.15,BOM500002
241,2019-01-04,1312.3,1315.55,1299.0,1305.0,1306.18,2649.0,291.0,3460077.0,759.0,28.65,16.55,-7.3,BOM500002
242,2019-01-03,1318.95,1330.15,1305.25,1312.35,1322.81,18506.0,585.0,24479885.0,524.0,2.83,24.9,-6.6,BOM500002
243,2019-01-02,1314.4,1327.25,1313.75,1316.0,1319.09,8148.0,736.0,10747936.0,4299.0,52.76,13.5,1.6,BOM500002
244,2019-01-01,1318.2,1338.75,1312.55,1320.4,1325.64,1816.0,255.0,2407362.0,573.0,31.55,26.2,2.2,BOM500002
245,2018-12-31,1312.0,1343.75,1307.25,1332.0,1321.06,12952.0,741.0,17110393.0,2982.0,23.02,36.5,20.0,BOM500002
246,2018-12-28,1310.0,1322.0,1310.0,1314.1,1315.47,22582.0,458.0,29705895.0,2447.0,10.84,12.0,4.1,BOM500002
247,2018-12-27,1300.05,1323.05,1300.0,1310.95,1313.98,108001.0,1143.0,141911277.0,95639.0,88.55,23.05,10.9,BOM500002
248,2018-12-26,1310.0,1318.5,1286.85,1297.95,1302.97,25102.0,1127.0,32707219.0,4252.0,16.94,31.65,-12.05,BOM500002
249,2018-12-24,1303.5,1316.5,1300.1,1305.45,1308.38,13091.0,526.0,17128051.0,1205.0,9.2,16.4,1.95,BOM500002
250,2018-12-21,1320.0,1325.15,1296.0,1303.0,1304.66,10865.0,773.0,14175089.0,1752.0,16.13,29.15,-17.0,BOM500002
251,2018-12-20,1334.0,1342.8,1298.1,1316.0,1319.5,12589.0,1150.0,16611190.0,3177.0,25.24,44.7,-18.0,BOM500002
252,2018-12-19,1333.1,1359.0,1284.0,1333.05,1318.11,52222.0,3397.0,68834398.0,8325.0,15.94,75.0,-0.05,BOM500002
253,2018-12-18,1399.0,1399.0,1325.0,1335.9,1361.85,22410.0,1652.0,30518957.0,14073.0,62.8,74.0,-63.1,BOM500002
254,2018-12-17,1453.9,1465.0,1392.55,1399.45,1419.96,13455.0,1203.0,19105556.0,4632.0,34.43,72.45,-54.45,BOM500002
255,2018-12-14,1420.0,1444.45,1407.85,1431.35,1429.19,3868.0,388.0,5528103.0,1377.0,35.6,36.6,11.35,BOM500002
256,2018-12-13,1450.0,1458.7,1430.0,1437.45,1442.89,7809.0,678.0,11267496.0,2445.0,31.31,28.7,-12.55,BOM500002
257,2018-12-12,1412.0,1449.0,1402.0,1433.45,1435.05,14217.0,1212.0,20402114.0,5050.0,35.52,47.0,21.45,BOM500002
258,2018-12-11,1395.0,1420.7,1389.25,1402.4,1404.38,7464.0,598.0,10482304.0,2049.0,27.45,31.45,7.4,BOM500002
259,2018-12-10,1371.85,1414.15,1371.85,1397.0,1398.78,9952.0,986.0,13920609.0,2700.0,27.13,42.3,25.15,BOM500002
260,2018-12-07,1392.2,1405.0,1379.15,1392.45,1392.32,5926.0,687.0,8250912.0,1943.0,32.79,25.85,0.25,BOM500002
261,2018-12-06,1372.0,1398.55,1353.8,1378.2,1375.42,8212.0,912.0,11294909.0,1450.0,17.66,44.75,6.2,BOM500002
262,2018-12-05,1375.0,1382.85,1365.45,1374.3,1372.08,2471.0,291.0,3390412.0,685.0,27.72,17.4,-0.7,BOM500002
263,2018-12-04,1390.0,1399.15,1375.3,1381.8,1388.92,3667.0,514.0,5093158.0,1432.0,39.05,23.85,-8.2,BOM500002
264,2018-12-03,1415.95,1417.45,1384.0,1391.55,1396.57,4012.0,368.0,5603053.0,958.0,23.88,33.45,-24.4,BOM500002
265,2018-11-30,1390.9,1410.0,1376.35,1405.85,1398.86,5829.0,587.0,8153948.0,1355.0,23.25,33.65,14.95,BOM500002
266,2018-11-29,1410.0,1417.7,1370.15,1382.5,1389.78,9290.0,852.0,12911037.0,3032.0,32.64,47.55,-27.5,BOM500002
267,2018-11-28,1360.0,1402.1,1346.05,1398.35,1382.64,20521.0,1216.0,28373078.0,6744.0,32.86,56.05,38.35,BOM500002
268,2018-11-27,1349.2,1364.55,1345.3,1353.75,1356.29,2701.0,278.0,3663343.0,886.0,32.8,19.25,4.55,BOM500002
269,2018-11-26,1357.9,1362.1,1336.75,1348.95,1355.55,11486.0,768.0,15569862.0,5338.0,46.47,25.35,-8.95,BOM500002
270,2018-11-22,1335.65,1357.9,1335.0,1345.25,1349.0,8249.0,528.0,11127905.0,2106.0,25.53,22.9,9.6,BOM500002
271,2018-11-21,1343.0,1346.95,1324.75,1344.15,1334.13,21785.0,242.0,29063953.0,20778.0,95.38,22.2,1.15,BOM500002
272,2018-11-20,1346.0,1349.0,1333.0,1339.6,1341.99,3350.0,324.0,4495683.0,1351.0,40.33,16.0,-6.4,BOM500002
273,2018-11-19,1331.9,1352.5,1324.75,1347.4,1338.1,11086.0,910.0,14834169.0,4913.0,44.32,27.75,15.5,BOM500002
274,2018-11-16,1293.55,1326.05,1292.35,1320.55,1314.71,9868.0,609.0,12973596.0,6221.0,63.04,33.7,27.0,BOM500002
275,2018-11-15,1298.05,1311.0,1286.05,1292.35,1296.46,3859.0,530.0,5003022.0,1165.0,30.19,24.95,-5.7,BOM500002
276,2018-11-14,1295.2,1315.0,1279.15,1285.95,1297.59,4521.0,537.0,5866417.0,1827.0,40.41,35.85,-9.25,BOM500002
277,2018-11-13,1311.6,1320.0,1291.2,1294.2,1301.77,5491.0,545.0,7148034.0,1996.0,36.35,28.8,-17.4,BOM500002
278,2018-11-12,1321.15,1322.4,1302.2,1309.15,1314.28,45006.0,483.0,59150616.0,42555.0,94.55,20.2,-12.0,BOM500002
279,2018-11-09,1330.0,1330.0,1305.7,1313.15,1313.85,3052.0,493.0,4009883.0,1361.0,44.59,24.3,-16.85,BOM500002
280,2018-11-07,1322.95,1333.0,1315.0,1329.5,1327.61,3774.0,255.0,5010396.0,2983.0,79.04,18.0,6.55,BOM500002
281,2018-11-06,1313.0,1331.25,1300.1,1305.3,1315.77,16673.0,1100.0,21937896.0,2292.0,13.75,31.15,-7.7,BOM500002
282,2018-11-05,1325.0,1334.9,1302.0,1310.8,1312.82,9567.0,725.0,12559747.0,5279.0,55.18,32.9,-14.2,BOM500002
283,2018-11-02,1340.0,1413.0,1311.0,1314.35,1306.13,12585008.0,2382.0,16437623053.0,12552409.0,99.74,102.0,-25.65,BOM500002
284,2018-11-01,1299.1,1367.0,1283.6,1318.75,1325.7,63244.0,1992.0,83842749.0,45421.0,71.82,83.4,19.65,BOM500002
285,2018-10-31,1227.4,1289.0,1219.1,1280.05,1270.04,72319.0,2543.0,91848169.0,49865.0,68.95,69.9,52.65,BOM500002
286,2018-10-30,1240.0,1261.0,1191.0,1209.25,1224.8,31541.0,2651.0,38631346.0,8395.0,26.62,70.0,-30.75,BOM500002
287,2018-10-29,1239.9,1252.7,1223.85,1232.95,1233.81,15189.0,646.0,18740283.0,2841.0,18.7,28.85,-6.95,BOM500002
288,2018-10-26,1210.0,1257.0,1210.0,1235.2,1244.81,9485.0,625.0,11807044.0,4827.0,50.89,47.0,25.2,BOM500002
289,2018-10-25,1230.05,1232.75,1205.15,1217.9,1217.7,10892.0,529.0,13263234.0,2371.0,21.77,27.6,-12.15,BOM500002
290,2018-10-24,1254.3,1259.95,1228.0,1243.85,1240.87,3180.0,301.0,3945952.0,1666.0,52.39,31.95,-10.45,BOM500002
