Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
2017-03-06,1380.0,1392.75,1363.55,1365.25,1368.9,84342.0,1868.0,115455961.0,52385.0,62.11,29.2,-14.75,BOM500010
2017-03-03,1392.65,1395.0,1366.0,1371.35,1373.12,53554.0,1738.0,73535948.0,31313.0,58.47,29.0,-21.3,BOM500010
2017-03-02,1404.0,1414.9,1392.0,1397.8,1403.88,92816.0,4968.0,130302528.0,45293.0,48.8,22.9,-6.2,BOM500010
2017-03-01,1368.8,1405.0,1368.0,1400.6,1396.69,74973.0,2710.0,104714237.0,39249.0,52.35,37.0,31.8,BOM500010
2017-02-28,1375.0,1384.0,1367.5,1368.8,1371.48,59487.0,2704.0,81585275.0,43809.0,73.64,16.5,-6.2,BOM500010
2017-02-27,1380.1,1383.75,1368.25,1374.75,1376.86,86628.0,4878.0,119274412.0,54837.0,63.3,15.5,-5.35,BOM500010
2017-02-23,1396.0,1405.25,1378.7,1385.1,1390.95,58464.0,2669.0,81320483.0,23432.0,40.08,26.55,-10.9,BOM500010
2017-02-22,1411.0,1415.0,1392.55,1394.75,1408.21,251029.0,1842.0,353501910.0,215324.0,85.78,22.45,-16.25,BOM500010
2017-02-21,1395.0,1414.0,1389.75,1411.95,1401.7,42576.0,1445.0,59678863.0,15273.0,35.87,24.25,16.95,BOM500010
2017-02-20,1408.0,1410.0,1387.5,1394.25,1394.01,39820.0,1622.0,55509313.0,12729.0,31.97,22.5,-13.75,BOM500010
2017-02-17,1430.0,1435.0,1396.95,1402.05,1412.89,98428.0,3932.0,139067904.0,29129.0,29.59,38.05,-27.95,BOM500010
2017-02-16,1396.8,1403.95,1386.5,1393.35,1394.13,32843.0,1901.0,45787508.0,15520.0,47.26,17.45,-3.45,BOM500010
2017-02-15,1399.9,1408.45,1390.0,1398.2,1397.98,77885.0,3442.0,108881977.0,45135.0,57.95,18.45,-1.7,BOM500010
